term,phrase,tag1,tag2,meaninglanguage1,meaning1,meaninglanguage2,meaning2,meaninglanguage3,meaning3,meaninglanguage4,meaning4
こちら,今回 の キーセンテンス は こちら です。,指示詞,,en,"(Alt=こっち, Kanji=此方)this person;",,,,,,
キーセンテンス,今回 の キーセンテンス は こちら です。,名詞,,en,Key sentence,,,,,,
りゅう,りゅう めい です。,名詞,,en,Dragon,,,,,,
氷,まっしろな 氷 の 下 に も…,名詞,,en,"n.  (Hira=こおり) ice,",,,,,,
まっしろな,まっしろな 氷 の 下 に…,形容詞,まっしろだ,en,Pure white,,,,,,
すっぱい,少し あまくて すっぱい です。,形容詞,,en,"adj.  (Kanji=酸っぱい) sour, acid, acidulous, having a sour taste",,,,,,
あまくて,少し あまくて すっぱい です。,あまい,形容詞,en,1. sweet-tasting; sweet; sugary; sugared​,,,,,,
オレンジいろ,あんず は きれいな オレンジいろ です。,名詞,,en,"n.  (Kanji=オレンジ色) orange,",,,,,,
あんず,あんず は きれいな オレンジいろ です。,名詞,,en,apricot,,,,,,
おしえて,てんいん さん が おしえて くれた かき氷 は「 あんず…,動詞,おしえる,en,"teach, inform, instruct, educate",,,,,,
あまく,…は、 てんいん に「 あまり あまく ない お すすめ の…,あまい,形容詞,en,甘い - sweet; delicious; fragrant (smelling); sweet (music); lightly salted; naive; overly optimistic; soft on; generous; indulgent; easy-going; half-hearted; not finished properly,,,,,,
みせ,…かきごおり」 の お みせ に 入ります。,動詞,みせる,en,"n.  (Kanji=店) shop, store; establishment; number of stores identifier",,,,,,
いそがしい,仕事 が いそがしい です。,形容詞,,en,"busy, occupied",,,,,,
考えなければなりません,将来 に ついて もっと 考えなければなりません。,,,en,have to think,,,,,,
なりたい,…卒業 したら、 何 に なりたい です か」 と 質問…,,,en,want to become,,,,,,
選ばなければなりません,…とき、 まず 学部 を 選ばなければなりません。,,,en,must choose,,,,,,
学部,…を 選ぶ とき、 まず 学部 を 選ばなければなりません。,名詞,,en,"【がくぶ】 (n,adj-no) (1) department of a university;",,,,,,
まず,大学 を 選ぶ とき、 まず 学部 を 選ばなければなりません。,副詞,,en,first of all,,,,,,
選ぶ,大学 を 選ぶ とき、 まず 学部 を…,動詞,,en,"(Alt=択ぶ, Hira=えらぶ) pick, choose, select",,,,,,
成績,…は いくら がんばって も、 成績 が よく なりません。,名詞,,en,"(Hira=せいせき) result, record, grade, number or letter indicating the quality of work done (pertaining to schoolwork), mark",,,,,,
がんばって,でも、 数学 は いくら がんばって も、 成績 が よく…,動詞,がんばる,en,"(Kanji=頑張る) persist, hold out, insist on, stand firm",,,,,,
いくら,でも、 数学 は いくら がんばって も、 成績 が…,副詞,,en,adv. how much? how many?,,,,,,
おもしろく,…英語 の 勉強 が おもしろく なりました。,形容詞,おもしろい,en,面白い おもしろい	interesting; amusing,,,,,,
したら,…もう 一 度 勉強 したら、 英語 の 勉強 が…,動詞,する,en,if/after verb form,,,,,,
大変でした,毎週 テスト が あって、 大変でした。,形容詞,大変だ,en,"adj.  (Hira=たいへんな) awful, terrible, dreadful, horrible; hard, difficult",,,,,,
毎週,毎週 テスト が あって、 大変でした。,名詞,,en,(Hira=まいしゅう) every week,,,,,,
テスト,毎週 テスト が あって、 大変でした。,名詞,,en,n.  test,,,,,,
や,…は 何も 言わないで お茶 や ケーキ を 出す こと…,助詞,,en,and such things,en,such things as (non-exhaustive list related to a specific time and place); and ... and​,,,,
基本,英語 や 数学 の 基本 の 勉強 を しました。,名詞,,en,"n.  (Hira=きほん) foundation, base, basis; standard",,,,,,
数学,英語 や 数学 の 基本 の 勉強…,名詞,,en,mathematics,,,,,,
英語,英語 や 数学 の 基本…,名詞,,en,English,en,えいご English (language),,,,
始まりました,…は「 復習 コース」 から 始まりました。,,,en,started,,,,,,
コース,…から、 はじめ は「 復習 コース」 から 始まりました。,名詞,,en,course,,,,,,
