term,phrase,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,tag12,tag13,tag14,tag15,tag16,tag17,tag18,tag19,tag20,meaninglanguage1,meaning1,meaninglanguage2,meaning2,meaninglanguage3,meaning3,meaninglanguage4,meaning4,meaninglanguage5,meaning5
abandonó,"La abandonó por negocios urgentes, volvió…",Verb,pretérito perfecto simple,él/ella/ud.,abandonar,abandonarse,abandonar,verbo,pretérito perfecto simple,él/ella/ud.,abandonarse,,,,,,,,,,,en,"he/she/it/ud  abandoned, left",,,,,,,,
abogados,"…recomendación de sus propios abogados, con la oposición de…",Noun,,,,,,,,,,,,,,,,,,,,en,lawyers,,,,,,,,
abogar,…y al mismo tiempo abogar por los,Verb,participio pasado,verb,participio pasado,,,,,,,,,,,,,,,,,en,to advocate,,,,,,,,
abono,…secreto estaba en el abono.,Verb,yo,presente,abonar,abonarse,Noun,verb,noun,presente,yo,abonar,abonarse,,,,,,,,,en,fertilizer,,,,,,,,
abra,"…temblorosa] Abra la puerta.- Ángela, tranquila.",Verb,él/ella/ud.,imperativo,subjuntivo presente,abrir,abrirse,Noun,sustantivo,abrir,imperativo,verbo,subjuntivo presente,él/ella/ud.,abrirse,,,,,,,en,Open,,,,,,,,
abrazarte,"…Es para abrazarte mejor, querida!""",,,,,,,,,,,,,,,,,,,,,en,hug,,,,,,,,
abrelatas,"…personas diestras. Las tijeras, abrelatas, cámaras, escritorios",,,,,,,,,,,,,,,,,,,,,en,can opener,,,,,,,,
ábreme,Ábreme.- Puta loca.,,,,,,,,,,,,,,,,,,,,,en,"open, open up",,,,,,,,
abrió,"…tocarla, la esfera se abrió y de ella salió…",Verb,pretérito perfecto simple,él/ella/ud.,abrir,abrirse,abrir,verbo,pretérito perfecto simple,él/ella/ud.,abrirse,,,,,,,,,,,en,opened,,,,,,,,
abrirla,"…negocios urgentes, volvió a abrirla cuando regresaba en tren…",,,,,,,,,,,,,,,,,,,,,en,open it,,,,,,,,
abuelita,…esta letra de mi abuelita era la que firmaba…,Noun,noun,,,,,,,,,,,,,,,,,,,en,grandmother,,,,,,,,
aburre,…Es que se aburre.,Verb,él/ella/ud.,presente,subjuntivo presente,aburrarse,aburrir,aburrirse,verbo,aburrir,presente,subjuntivo presente,él/ella/ud.,aburrirse,aburrarse,,,,,,,en,"v.  weary, bore (Aburrir)",,,,,,,,
abusada,La parca muy abusada,,,,,,,,,,,,,,,,,,,,,en,abused,,,,,,,,
acá,…insultos]-[ hombre]¡ Tomátela de acá!,Adverb,Noun,noun,adverb,,,,,,,,,,,,,,,,,en,here,,,,,,,,
acaba,…capítulo. El payaso lo acaba de subir.,Verb,él/ella/ud.,presente,acabar,acabarse,verbo,presente,acabar,él/ella/ud.,acabarse,,,,,,,,,,,en,"finish, terminate, end",,,,,,,,
acabado,cuántas veces se ha acabado el mundo la,Verb,yo,pretérito perfecto compuesto,acabar,acabarse,Noun,verbo,yo,acabar,pretérito perfecto compuesto,acabarse,,,,,,,,,,en,finished,,,,,,,,
acabar,…partidas de I+ D acabar de cuajo con un…,Verb,participio pasado,verbo,participio pasado,,,,,,,,,,,,,,,,,en,to finish,,,,,,,,
